Frame: {(0,12) (12,12) (12,0) (0,0) (2.68328,1.34164) (0,4.47214) } Used polys:[(0,0) (2.68328,1.34164) (0,4.47214)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (4,1) (0,3) } Used polys:[(0,3) (0,0) (4,1)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (2.91043,3.3955) (0,4.12311) } Used polys:[(2.91043,3.3955) (0,4.12311) (0,0)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (1.45521,5.82086) (0,4.12311) } Used polys:[ ][(0,0) (1.45521,5.82086) (0,4.12311)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (1,2) (0,6) } Used polys:[ ][(0,6) (0,0) (1,2)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (3,0) (3,6) (1,8) (0,6) } Used polys:[ ][ ][(0,0) (3,0) (3,6) (1,8) (0,6)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (6,0) (8,2) (6,3) (0,3) } Used polys:[ ][ ][(0,3) (0,0) (6,0) (8,2) (6,3)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (2.12132,0.707107) (6.36396,4.94975) (4.24264,7.07107) (0,2.82843) } Used polys:[ ][ ][(6.36396,4.94975) (4.24264,7.07107) (0,2.82843) (0,0) (2.12132,0.707107)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (2.35339,8.62911) (0,10.198) } Used polys:[ ][ ][ ][(0,0) (2.35339,8.62911) (0,10.198)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (8.48528,5.65685) (0,2.82843) } Used polys:[ ][ ][ ][(8.48528,5.65685) (0,2.82843) (0,0)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
